sub	condition	order	sup/nosup	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
55	HebbEffect	1	ns	0.25	0.625	0.75	0.375	0.5	0.5	0.75	1	0.75	1	0.375	0.625	0.25	1	1	0.875
56	HebbEffect	2	ns	0.375	0.5	0.375	0.625	0.75	0.625	0.375	0.375	0.375	0.375	0.5	0.5	0.625	0.375	0.75	0.875
57	HebbEffect	1	ns	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	1
58	HebbEffect	2	ns	0.5	0.25	1	0.625	1	0.625	0.25	0.375	0.25	0.25	1	0.75	0.75	0.5	0.25	0.375
59	HebbEffect	1	ns	0.25	0.5	0.75	1	1	0.625	0.75	1	0.25	0.75	0.75	0.625	0.625	0.75	0.5	1
60	HebbEffect	2	ns	0.25	0.25	0.375	0.125	0.375	0.375	0.375	0.375	0.75	0.5	0.375	0.75	0.25	0.625	0.375	0.25
61	HebbEffect	1	ns	0.375	0.5	0.5	0.75	0.625	0.75	0	0.75	0.5	0.75	0.75	0.75	0.5	0.25	1	0.625
62	HebbEffect	2	ns	0.75	0.75	0.5	0.75	0.875	1	0.5	0	1	1	1	1	1	1	1	1
63	HebbEffect	1	ns	0.375	0.375	0.375	0.5	0.375	0.375	0.25	0.5	0.25	0.375	0.5	0.5	0.125	0.25	0.375	0.375
64	HebbEffect	2	ns	0	0.375	1	1	1	1	1	1	1	1	0.75	1	1	1	1	0.625
65	HebbEffect	1	ns	0.625	0.5	0.375	0.5	0.75	0.375	1	0.75	1	1	1	1	1	1	1	1
66	HebbEffect	2	ns	0.625	0.625	0.75	0.75	1	1	1	1	1	1	1	1	0	0.875	1	1
67	HebbEffect	1	ns	0.375	0.5	0.375	0	0.75	0.75	0.125	0	0.75	1	1	1	1	1	1	1
68	HebbEffect	2	ns	0.375	0.625	0.5	0.75	0.625	0.75	0.125	1	1	1	0.75	0.625	0.75	1	1	1
69	HebbEffect	1	ns	1	0.75	0.375	0.625	0.75	1	0.75	1	1	1	1	1	0.25	0.625	0.75	0.75
70	HebbEffect	2	ns	0.375	0.375	0.375	0.375	0.75	1	0.75	0.875	1	1	1	1	0	0.75	1	1
71	HebbEffect	1	ns	0.5	0.25	0.5	0.625	0.25	0.625	0.75	1	0.625	0.5	0.75	0.75	1	0.75	0.75	0.625
72	HebbEffect	2	ns	0.125	0.375	0.75	0.75	0.5	0.5	0.5	1	0.5	1	0.5	0.75	0.75	0.75	1	0.375
1	FillA	1	su	0.4	1	1	0.6	1	0.6	0.6	0.2	0.6	0.4	0.6	0	0.2	0.4	0.4	0.4
2	FillA	2	su	0.4	0.6	0.6	1	1	0.6	0.2	0.2	0.4	1	0	0.2	1	0.4	0.2	0.4
3	FillA	1	su	0	0.6	1	0.6	1	1	0.6	0.4	1	1	0.6	1	0.4	1	1	0.6
4	FillA	2	su	0.6	0.6	0.2	0	0.2	1	0.4	0	0.4	0.6	0.4	1	0.4	1	0.4	1
5	FillA	1	su	0.4	0	0.2	1	0.4	0.2	0.6	0.2	0.6	0.6	0.2	0.4	0.6	0.2	0.2	0.4
6	FillA	2	su	0.2	0.2	0.4	0.6	0	0.2	0	0.2	0.4	0.2	0.2	0.2	0.2	0.4	0.2	0.4
7	FillA	1	su	0.2	0.6	0.4	0.6	0	0.4	0.6	0.2	1	1	0.2	0.6	0	0.4	0.4	1
8	FillA	2	su	0.6	0.6	0.6	0	0.6	0.6	0.2	0	0.6	0.6	1	0.2	1	0.6	1	1
9	FillA	1	su	0.2	0.4	0.6	0.4	0	1	0	0.4	0	0.6	0.6	0	0	0.2	0.4	0.4
10	FillA	2	su	0.6	0.2	1	1	1	0.2	0.4	1	0.6	0.2	0.6	1	1	0.4	0.6	1
11	FillA	1	su	0.6	0.2	0.6	1	0.6	1	0	0.6	1	0.6	0	0.4	0.4	0.6	0.6	0.6
12	FillA	2	su	0.6	0.6	1	0.6	1	1	1	1	1	0.6	0.6	1	1	1	1	0.6
13	FillA	1	su	0.2	0.4	0.4	1	1	1	0.6	1	1	0.2	1	0.6	0.4	1	1	0.6
14	FillA	2	su	0.6	0	0.6	0.2	0.2	0.6	0.4	0.2	0.6	0	1	1	1	0	0.4	0.4
15	FillA	1	su	0.4	0.8	0.2	1	0	1	0.6	1	1	0.6	1	0.4	0.8	0.6	1	0.4
16	FillA	2	su	0.4	0.6	0.6	0.4	0	0.6	0.6	0.4	0.4	0.2	0.6	0.4	0.2	0.2	0.2	0.2
17	FillA	1	su	0.4	0.6	0.6	0.2	0.6	1	1	1	1	1	1	1	0.2	0.6	1	1
18	FillA	2	su	0.6	0.2	0	0	0.6	0.6	0	0.6	0.4	0.4	0.2	0.4	1	1	0.4	0.2
19	FillA	1	su	0.6	0.6	0.4	0.4	0.6	1	1	0.6	0.6	0.4	0.6	0.8	0.6	0.8	1	1
20	FillA	2	su	0.4	0.4	0.4	0.4	0	1	0.6	0.6	0.6	0.6	0.4	0.6	0	0	1	0.6
21	FillA	1	su	0.6	0.6	1	0.6	1	0.6	0.4	0.4	0.2	1	0.6	1	1	1	1	0.6
22	FillA	2	su	1	0.4	0	0.6	0.2	0.6	0.4	0.4	0.4	0.2	0.4	0.2	0.2	0.4	0.2	0.2
23	FillA	1	su	0.6	0	0.6	0.6	0.6	0.2	0.4	1	0.4	0.6	0.4	0.4	0.6	0.6	0.2	0.2
24	FillA	2	su	0.6	0.2	0	1	0.4	0.6	0	0.4	1	0.2	0.2	0.6	0.6	0.2	0.6	0.6
25	FillA	1	su	1	1	0.4	0.2	1	0.6	0.6	1	0.2	0.6	0.6	0.6	0.6	0.4	0.4	0
26	FillA	2	su	0.6	0.4	1	1	0.6	1	0.2	0	0.4	0.6	0.6	0.6	0.6	1	0.6	0.6
27	FillA	1	su	0.4	0.6	0.4	0.4	0.6	0.6	0.8	0	0.8	1	0.2	0.6	0.4	0.2	0.2	0
28	FillA	2	su	0.2	0.2	0.4	0.6	0.6	0.4	1	1	0.2	0.2	0.2	0.4	1	0.2	0.2	0.6
29	FillA	1	su	0.4	0.6	0.6	1	0.2	0	0.2	1	0	0.4	1	0	1	0.6	0	0.4
30	FillA	2	su	0.2	1	0.4	0.6	0.4	0.2	0.4	0.6	0	0.6	0.4	0.6	1	0.2	0.2	0.4
31	FillA	1	su	0.6	0.4	0.4	0	0.6	0.2	0.4	1	0.2	0.2	0.4	0.6	0.2	0.6	0.4	0.4
32	FillA	2	su	0.4	0.4	0.6	0.2	0	0	0.4	0.6	1	1	0	0.2	1	0.6	0.2	0.6
33	FillA	1	su	0	0.2	0.4	0.6	0.2	0.2	0.6	0.4	1	0.2	0.4	0.6	0.4	0.6	0.6	0.2
34	FillA	2	su	0.6	1	0.4	0.4	0.6	1	0.4	0.4	0	0.6	0.6	0.4	0.4	0	0.4	0.6
35	FillA	1	su	1	0.6	0.6	0.6	1	1	0.2	0.2	0.2	0.2	0.4	1	0.6	0.6	0.2	0.6
36	FillA	2	su	0	0.4	0.6	0.6	0.2	0.4	0.6	0.2	1	0.6	0	0.4	0	0.4	1	1
37	FillA	1	su	0	0.6	0.2	0.2	0.4	0.6	0.6	0.4	1	0.2	0.6	0	0.6	0.2	0	0.2
38	FillA	2	su	0.2	0	0.6	0.6	0.6	0.2	0.6	0.8	0.2	0	0.6	1	0.6	0.4	0.6	0.6
39	FillA	1	su	0.4	1	0.6	0.4	0.2	1	0.6	0.4	0.4	0.4	1	1	0.2	1	1	1
40	FillA	2	su	1	0.4	1	0.8	1	0.6	0.6	0.4	0.4	1	1	1	1	0.4	0.2	1
41	FillA	1	su	0.2	0.6	0.2	0.4	0.8	0.2	0.4	1	0.2	0.2	0.4	0.4	0	0.2	0.4	0
42	FillA	2	su	1	0.4	0.4	0.2	0.2	0	0	0.6	0.6	0	1	0.6	0.2	0.2	0.8	0.6
43	FillA	1	su	0.2	0.2	1	0.2	0.6	0.6	0.6	1	0.6	1	0.6	1	0.4	0.4	0.4	1
44	FillA	2	su	1	0	0.6	0.2	0.6	1	0.6	0.4	0.4	1	0.6	1	0.6	0.2	1	1
45	FillA	1	su	1	1	1	1	0.6	1	0.6	1	1	0.6	0.6	0.6	1	0.4	0.6	0.6
46	FillA	2	su	0.6	0.8	0.6	0.4	0.4	0.2	0.2	0.4	1	0.2	0.6	0.2	0.4	0.6	0.6	0.6
47	FillA	1	su	0.6	1	1	1	0.2	1	0.2	1	1	1	1	1	0.6	0.6	0.6	1
48	FillA	2	su	1	0.2	0.4	0.6	0.6	0.4	0.4	1	0.2	1	0.4	0	0.2	0.6	0.6	1
49	FillA	1	su	0.6	0.6	0.4	0.2	0.6	1	0.6	1	0.6	0.2	1	1	0.4	0.6	0.6	0.6
50	FillA	2	su	1	0.6	1	0.6	0.6	1	1	0.6	1	1	1	0.6	1	1	0.6	0.6
51	FillA	1	su	0.2	1	0.6	1	0	0.2	0.6	0.4	0.4	0	0.2	1	1	1	0.6	0.8
52	FillA	2	su	0.4	0.4	0.6	0.6	0	1	0.4	0.6	0.4	0.6	0.6	1	0.6	1	0.6	1
53	FillA	1	su	0.6	1	0.4	0.4	0.6	1	1	1	0.2	0.6	1	0.2	0.4	1	0.6	0
54	FillA	2	su	1	0.2	0.2	0.6	1	1	0.4	0.6	0.2	0.6	0.6	0.6	0.6	1	0.4	1
55	FillA	1	su	0.2	0.4	0	0.6	0.6	0	0.4	1	0	0.2	0.4	0.2	1	0.6	1	0.2
56	FillA	2	su	0.6	0.4	0.2	1	0.4	0.6	0.6	0.4	0.4	1	0.6	1	0.6	0.2	1	0.6
57	FillA	1	su	0.2	0.6	0.6	1	0.2	1	0.6	0.4	1	0.2	1	0.4	0.6	0.6	0.6	1
58	FillA	2	su	1	0.6	0.6	0.6	0.6	1	1	0.2	0.4	0.4	0.6	0.6	0.6	0.6	0.6	1
59	FillA	1	su	0.2	1	0.2	0.6	0.2	0.6	1	0	0.2	0.2	1	0.6	1	1	0.6	0
60	FillA	2	su	0.2	0.2	1	0.2	0	0.2	0.4	0.2	0	0	0.2	0	0.4	0	0.6	0.6
61	FillA	1	su	0.2	0.2	0.4	1	0.2	0.6	0.4	1	0	0.6	0	0.6	0.4	0.6	0.4	0.6
62	FillA	2	su	0.6	1	0.2	1	0.6	0.6	1	0.4	0.4	0.6	0.6	1	0.6	1	0.6	0.6
63	FillA	1	su	0.4	0.4	1	0.4	0.6	0.4	0.6	0.4	1	0.2	0.4	0.4	0.6	0	1	0.4
64	FillA	2	su	0.2	0.6	0.6	1	0.4	0.2	0.4	1	0.2	0.6	0.4	1	0	0.4	0.6	0.6
65	FillA	1	su	0.4	1	0.6	0.4	0.2	0	0.4	0.6	0.6	0.6	0.6	0	1	0	0.6	1
66	FillA	2	su	0.4	0.4	0.6	1	1	0.2	0.4	0.2	0	0	0.6	0.4	0	1	0.2	0.2
67	FillA	1	su	0	0.4	0	1	0.4	1	0.6	0.6	0.6	0.6	0.6	1	0.6	1	1	0.4
68	FillA	2	su	1	1	1	1	0.4	1	0.6	1	1	0.6	0.6	1	0.6	0.8	0.4	0.6
69	FillA	1	su	0.2	1	0.6	1	1	0.6	0.6	0.6	1	0.8	1	1	1	0.6	0.4	1
70	FillA	2	su	0.6	0.4	0.2	1	0.6	0.4	0.6	1	0	0.6	0.6	0.2	0.6	0.4	0.4	0.2
71	FillA	1	su	0.4	0.6	0.2	1	0	0.2	0.6	0	0.2	0.4	0.6	0.6	0.2	0.2	0.6	0.6
72	FillA	2	su	0.6	0.6	1	1	0.6	0.6	1	0.2	0.6	0.6	1	1	1	1	1	0.6
1	FillB	1	su	0.6	0.4	0.6	0.4	0.6	0.6	1	0.4	1	1	0.2	0	0.2	0.4	0.2	0.6
2	FillB	2	su	1	1	0.6	0.4	0.6	1	1	0.4	0.4	0	1	0.2	0	1	0.4	0.2
3	FillB	1	su	0.8	1	0.4	1	0.2	1	0.6	0.2	1	1	0.2	1	1	0.6	1	1
4	FillB	2	su	0.4	0.4	0.2	0.2	0.6	0.6	1	0.2	0.2	0.6	0.2	1	0.2	0.2	0.4	0
5	FillB	1	su	0.4	0.2	0.6	0.6	0.4	0.6	0	0.4	0	0.6	0.4	0.2	0.4	0.2	0.4	0.2
6	FillB	2	su	0	0.2	0.2	0	0.4	0.2	0.2	0.6	0	0.2	0.2	0	0.2	0	0.4	0.2
7	FillB	1	su	0.6	1	1	0	0.4	0.2	0.4	0.2	0.6	0.4	0.2	0.2	0.6	0.4	0.4	0.2
8	FillB	2	su	0.6	0.4	0.6	0.2	0	0.2	0.2	1	0.6	0	0.6	1	1	0.6	1	1
9	FillB	1	su	0.4	0.2	0	0.6	0.2	0.4	0.4	0.6	0.4	0	0.4	0.6	1	0.4	0.6	0.6
10	FillB	2	su	0.6	0.6	1	0.6	1	0.6	1	0.6	0.6	0.2	0	0.6	1	0.2	0.4	0.4
11	FillB	1	su	1	0.6	0.6	1	0.6	0.4	0.6	0.6	0.6	0	0.4	0.6	1	1	1	1
12	FillB	2	su	1	1	1	1	1	1	0.4	1	1	1	1	1	0.6	0.6	1	1
13	FillB	1	su	0.6	1	1	0.6	0.6	1	1	0.4	0.4	1	0	1	1	1	1	0.6
14	FillB	2	su	0.6	1	0	0.6	0.4	1	0.6	0.2	0	0.2	1	0.6	0.4	0.4	0.6	0.4
15	FillB	1	su	0.6	1	1	0.6	1	1	0.6	1	0.6	1	1	1	1	1	0.4	1
16	FillB	2	su	0	1	0.6	0.2	0.2	0.4	0.6	0.2	1	0.6	0	0.2	0.4	0	0.6	1
17	FillB	1	su	0.6	1	1	1	0.6	0.6	0.6	1	0.6	1	0.2	1	0.6	1	0.6	1
18	FillB	2	su	0.4	0.4	0.2	0.6	0.4	1	0.6	0.4	0.4	0.4	0.6	0.2	0.6	0.4	0.2	0.6
19	FillB	1	su	0.2	0.4	0.4	0.6	1	0.6	0.4	0	0.6	0.6	0.6	1	0.6	0.6	0.4	0.6
20	FillB	2	su	1	0.6	0.6	0.4	0.4	1	0.6	0.4	0	0.4	0.4	0.4	0.2	1	0.6	1
21	FillB	1	su	1	0.2	0.2	1	0.6	0.4	0.2	0.6	0.6	0.6	0	0.8	0.4	0.6	0.4	0.6
22	FillB	2	su	0.4	0.4	0.4	0.4	0.4	0.2	0.4	0.6	0.4	0	0	0.4	0.4	0.4	0.4	0.6
23	FillB	1	su	0.4	0.4	0.4	0.6	0.6	0.2	1	0.4	0.2	1	1	0.6	0.8	0	0.6	0
24	FillB	2	su	0.6	1	0.2	0.6	0.4	1	0.2	0.6	1	0.2	0.6	0.2	0.6	0.2	0.2	1
25	FillB	1	su	0.6	1	0.6	1	0.6	1	0.2	0.2	0.6	0.6	0.6	0.6	0.2	0.6	0.4	1
26	FillB	2	su	1	0.6	0.6	0.6	0.6	0.6	0.2	1	0.6	0	1	0.4	1	0.2	1	0.6
27	FillB	1	su	0.2	0.4	0.6	1	0.4	0.2	0.4	0.2	0.6	0.6	0.6	0.6	0.6	0.4	0.6	0.4
28	FillB	2	su	0.6	0.2	0.2	0.2	0.6	1	0	0.2	0.6	0.6	0.4	1	0.6	0.6	1	0.6
29	FillB	1	su	0.4	0.6	0.6	1	1	0.2	0.2	0.6	0.6	0.6	0.6	0.2	0.4	0.2	0	1
30	FillB	2	su	0.4	0.4	0.6	0.4	0.4	0.2	1	0.6	0.6	0.2	1	0.4	0.6	0	0	0
31	FillB	1	su	0.6	0.2	0.4	0	0.6	0	0.6	0.6	0.6	0.4	0.4	0.4	0.6	0.2	0.6	1
32	FillB	2	su	0.2	0.6	0.2	0.2	0.4	1	0.2	0.2	1	0	0.6	0	1	0.6	1	1
33	FillB	1	su	0.2	0.6	0.2	0.4	0.2	0.2	0.6	0.6	0.8	0.4	0	0.4	0.4	0.4	0.6	0.4
34	FillB	2	su	0.6	0.2	0	0	0.6	0.4	0.2	0	0.6	0.2	0.6	0.8	0.2	0.6	0.6	0.6
35	FillB	1	su	1	0.4	0	0.6	0.6	1	1	0.6	0.4	0.6	0.6	0.6	0.6	0.6	0.6	0.2
36	FillB	2	su	0.6	0	1	0.6	0	0.6	0	0.4	0.2	0.6	0	0.6	0.2	0.4	0.2	0.4
37	FillB	1	su	0.6	0.2	0.6	0.6	0.4	0.2	0.2	1	0.6	0.2	0.2	0.6	0.6	0	0	0.6
38	FillB	2	su	0.8	0.8	0.4	0.6	0.4	0.2	0.4	1	0.6	0	0.6	0.6	0.2	0.4	0.6	1
39	FillB	1	su	1	1	1	0.6	0.6	1	0.2	1	0.6	1	0.6	0.2	1	1	0.6	1
40	FillB	2	su	1	0.6	0.6	1	0.6	0.4	1	1	0.6	1	1	0.6	1	0.4	0.6	1
41	FillB	1	su	0.6	1	0.2	0.4	0.4	0.6	0.4	0.4	0.2	0.4	0.4	0.2	0	0.2	0.6	0.4
42	FillB	2	su	0.2	1	0.2	0	0.2	0	0	0	0.6	0.2	0.6	0	0.6	0	0.8	0
43	FillB	1	su	1	1	0.2	0.2	0.4	0.6	0.6	0.2	0.2	1	0.6	0.6	0.2	1	0.6	1
44	FillB	2	su	0.2	0.6	1	0.6	0.6	0.2	0.4	0.2	0.6	0.6	0.2	1	0.4	0.2	0.6	1
45	FillB	1	su	1	0.6	0.4	0	1	1	1	1	1	0.6	1	1	0.6	1	0.6	1
46	FillB	2	su	1	1	0.4	0.6	0.6	0.4	0.2	0.6	0.6	0.4	1	0.6	0.2	0.2	0.6	1
47	FillB	1	su	1	1	0.6	1	1	0.6	0.2	1	0.6	1	0.4	0.4	0.6	0.6	0.6	1
48	FillB	2	su	0.6	1	0.4	0	0.4	0.2	0	1	1	0.6	0.2	0.2	0.6	0.6	0.2	0.6
49	FillB	1	su	1	1	1	1	1	0.6	0	1	1	1	0.4	0.6	0.6	0.2	1	0.4
50	FillB	2	su	0.6	0.6	1	1	1	0.6	1	0.4	0.4	0.6	1	0.2	1	0.6	1	0.6
51	FillB	1	su	0.4	0.4	1	0	0.6	0.6	0.6	0.4	0.4	0.4	1	0.6	0.2	1	0.4	0.4
52	FillB	2	su	1	0.6	0.4	0.6	1	0.2	0.6	0.6	0	1	0.2	0	1	1	0.4	0.6
53	FillB	1	su	1	0.6	1	0.6	0.2	0.4	0.4	0.4	1	0.2	0.6	0.4	1	0.2	0.6	1
54	FillB	2	su	0.4	1	1	0.4	0.6	1	0.6	0.6	0.6	0.6	1	0.6	1	0.4	0.4	0.2
55	FillB	1	su	0.2	0.6	0.6	0.4	0.6	0.6	0	0.2	0.2	1	1	0.2	0	1	0.2	0.6
56	FillB	2	su	0.4	0.6	0.6	1	1	0.6	1	0.4	0.6	1	0.6	0.4	1	0.4	1	0.2
57	FillB	1	su	0.4	0.6	1	0.2	1	1	0.6	0.4	0.4	0.6	0.6	0.6	0.4	0.6	0.4	0.2
58	FillB	2	su	0.6	0.6	1	0.2	1	0.4	0.6	0.6	0.2	1	0.4	0.6	0.4	0.4	0.4	0.6
59	FillB	1	su	0.6	1	0.2	0.2	0.6	1	0.2	1	0.8	0.2	0.4	0.4	1	0.6	0.4	0.4
60	FillB	2	su	0.4	0.2	0.2	0.6	0	0.2	0	0	0.4	0.4	0.6	0.4	0.2	0.4	0	0.6
61	FillB	1	su	0.6	0.4	1	0.2	0.2	0.6	1	0.4	1	0.2	0	0.4	0.4	0.6	0.4	1
62	FillB	2	su	0.6	0.6	0.6	1	1	0.6	0.6	0.6	1	0.6	1	1	0.2	1	0.6	0.4
63	FillB	1	su	1	1	0.4	0.4	0.4	0.4	0.6	1	0.6	0.8	1	0.2	1	0.6	0.6	0.6
64	FillB	2	su	0.4	0.6	0.6	0.6	0.2	0.6	0.6	0.6	0	1	0.4	0.6	0.4	0.6	0.4	0.2
65	FillB	1	su	0.4	0.2	0.4	1	0.6	0.4	0.4	1	0.4	1	0.6	0.2	0.2	0.4	0.6	0.4
66	FillB	2	su	0.6	0	0.2	0.6	0.4	0.6	0.4	0	0.2	0	0.2	0.6	0.4	0.4	0.6	0.4
67	FillB	1	su	0.2	0.4	1	0	0	1	0.6	1	0.6	0.6	0.6	1	0.4	1	0.4	0.4
68	FillB	2	su	0.6	0.6	0.4	1	0.6	1	1	1	0.6	1	0	0.6	1	1	1	0.6
69	FillB	1	su	1	1	0.4	1	1	1	1	0.6	0.6	1	1	0.6	0.6	0.6	1	0.6
70	FillB	2	su	0.6	0.6	0.2	0.6	0	0.2	1	0.6	0	0.2	0.6	1	0.6	1	0.6	0.2
71	FillB	1	su	0.6	0.6	0.6	0.6	0.2	0.6	0	0.4	0.6	0.2	0.4	0.2	0.4	0.2	0.6	0.6
72	FillB	2	su	0.4	0.6	1	0.6	0.4	0.2	0	1	0.6	0.4	0.2	0.6	1	0.6	0.6	0.6
1	HebbEffect	1	su	0.6	0.6	0.2	0.6	1	0.6	1	0.6	0.6	0.6	0.6	0.6	0.2	0.2	0.6	0.6
2	HebbEffect	2	su	0.6	0.2	0.4	0.4	1	0.4	0.4	0.2	1	1	0.6	0.6	0.8	0.4	1	1
3	HebbEffect	1	su	0.6	1	1	1	1	0.6	1	1	1	1	0.6	1	1	1	0.6	1
4	HebbEffect	2	su	0.6	0.2	0.6	0.2	1	0	0	0.2	0.4	0.2	0.2	0.2	0.6	0.4	1	0.4
5	HebbEffect	1	su	0.6	1	0.4	0.4	0.4	0.2	0.2	0.6	1	0	0.4	1	0.4	0.6	0.6	1
6	HebbEffect	2	su	0.2	0	0.2	0	0	0.2	0.4	0	0	0.4	0.2	0.2	0.4	0.4	0	0.4
7	HebbEffect	1	su	0.4	0.6	1	0.4	1	1	1	0.6	0.2	0.4	0.4	0.6	0.6	0	0.6	0
8	HebbEffect	2	su	1	0.6	1	1	0.6	1	0.2	0.4	1	1	1	1	0.6	1	1	1
9	HebbEffect	1	su	0.2	0	0.4	0.2	0.2	0	0.6	0.6	0.2	0	0.4	0.2	0	0.2	0	0
10	HebbEffect	2	su	0.4	0.4	1	0	0.6	1	1	1	0.6	0.8	0.6	1	0.6	1	0	0.2
11	HebbEffect	1	su	1	1	1	1	0.2	1	1	1	1	1	1	1	0.2	1	1	1
12	HebbEffect	2	su	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13	HebbEffect	1	su	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
14	HebbEffect	2	su	1	0	1	0.4	0.2	0.6	0.6	0.6	0	0.6	1	0.6	0.2	0.2	0.4	0.6
15	HebbEffect	1	su	1	1	1	1	0.6	0.6	1	1	0.6	1	1	1	0.6	1	0.2	0.6
16	HebbEffect	2	su	0	0.2	0.2	0.2	0	0.2	0.4	0.2	0.4	0	0.6	0.4	0.2	1	0.8	0.4
17	HebbEffect	1	su	0.4	0.4	0.4	1	1	1	1	1	1	1	1	1	1	1	0.2	1
18	HebbEffect	2	su	0.2	0.2	0.6	1	1	1	0.6	0.6	0.6	0.2	1	0.6	1	0.6	0.6	1
19	HebbEffect	1	su	0.6	0.2	1	0.4	0.2	1	0.8	0.6	1	0.2	0.6	0.8	1	1	1	1
20	HebbEffect	2	su	0.6	0.2	1	0.2	0.6	1	0.4	1	0.2	0.6	0.4	0.2	0.4	1	1	1
21	HebbEffect	1	su	0.2	1	0.2	0.6	1	0.6	0.4	1	0.4	1	1	1	1	1	1	1
22	HebbEffect	2	su	0.6	0.4	0.2	0.6	0.2	0.2	0.4	0.2	0.4	0.6	0.6	0.2	0.6	0.4	0.4	0.2
23	HebbEffect	1	su	1	0.6	0.6	1	1	1	0.6	1	0.2	0.8	0	0.4	1	0.4	0.4	0.6
24	HebbEffect	2	su	0.2	0.4	1	0.4	0.2	0.6	0.4	0.4	0.4	1	0.6	0.4	0.2	1	0.6	0.4
25	HebbEffect	1	su	0.6	0.6	1	1	0.4	0.6	0.6	0.6	1	1	0.6	0.6	0.6	1	1	1
26	HebbEffect	2	su	0.6	0.4	0.6	0.6	0.4	0.2	0.4	0.4	0.6	0.4	0.6	0.8	0	0.6	1	0.6
27	HebbEffect	1	su	0.6	1	0.2	1	0.6	0.4	1	0.6	1	0.6	0.6	0.2	0.6	0.6	1	0.2
28	HebbEffect	2	su	1	1	0.4	0.2	0.6	0.6	1	1	0.4	1	1	1	1	0.6	1	0.2
29	HebbEffect	1	su	0.2	0.2	1	0.6	0.4	0.4	1	0.6	0.6	1	0.6	0.4	0.2	0	0.2	1
30	HebbEffect	2	su	0.6	0.6	0.2	1	0.6	0.2	0.6	0.6	0.2	0.8	0	0.2	0	0.6	1	0.4
31	HebbEffect	1	su	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.8	0.6	1	1	0.6	0.4	0.6	0.6	0.4
32	HebbEffect	2	su	0.6	0.2	0.2	0.6	0.6	0.2	0.6	1	0	0.6	1	0.6	0	1	1	0.6
33	HebbEffect	1	su	0.6	0	0.2	0.4	0.8	0.4	1	0.4	0.2	0.2	0.2	0.2	0.6	0.8	0.2	0.2
34	HebbEffect	2	su	1	1	1	0.6	1	1	0.8	0.4	0.6	1	1	1	1	0	1	0.4
35	HebbEffect	1	su	0.4	0	0.4	0.4	0	0.6	0.4	0.2	0.6	1	0.6	0.2	0.4	0.6	0.6	0.4
36	HebbEffect	2	su	0	1	0.4	0.4	0.4	0.4	0.4	0.4	0	0.6	0.4	1	0.2	0.2	1	0.6
37	HebbEffect	1	su	1	0	1	0	0.4	0.6	1	0.6	0.6	1	1	1	1	1	1	1
38	HebbEffect	2	su	0	0.4	1	0	0.6	0.6	1	1	0.4	0.2	0.6	0.6	0	0.4	0.4	0.4
39	HebbEffect	1	su	0.4	0.4	0.6	1	1	0.6	0.6	0.6	1	1	1	1	1	1	0.6	1
40	HebbEffect	2	su	0.2	0.6	0.4	0.2	0.4	1	0.4	0.4	0.2	0.4	1	1	0.6	1	1	1
41	HebbEffect	1	su	0.6	1	0.4	0.6	0.2	0.4	0.6	0	0.4	0.6	0	0.2	0	0.2	0.4	0.2
42	HebbEffect	2	su	0.6	1	0.6	0.6	0.6	0.4	0.4	0.6	0.6	1	0.6	0.8	0.4	0.4	0.6	1
43	HebbEffect	1	su	0.6	0.2	0.6	0.6	0.6	0	0.6	1	1	0.2	0.4	0	1	1	0.6	1
44	HebbEffect	2	su	0.6	1	1	0.4	0.6	0.4	0.2	0.2	0	0.2	0.6	1	1	1	0.2	1
45	HebbEffect	1	su	1	1	1	1	1	1	0.6	0.6	0.4	0.6	0.6	1	0.6	1	1	0.6
46	HebbEffect	2	su	0.4	0.4	1	1	1	1	1	1	0.6	0.6	0.4	0.2	0.2	1	1	1
47	HebbEffect	1	su	0.6	1	1	1	1	1	1	1	0.6	1	1	1	1	0.4	1	1
48	HebbEffect	2	su	0.6	0.6	0.6	0.6	1	0.6	0.2	0.6	0.2	0.4	1	1	1	0	1	1
49	HebbEffect	1	su	0.2	0.4	0.2	1	1	0.6	1	1	1	0.6	0.6	1	1	1	0.6	1
50	HebbEffect	2	su	0.6	1	0.6	1	0.4	0.2	1	1	1	1	1	0.6	1	1	1	0.6
51	HebbEffect	1	su	0.2	0	1	0.2	0.4	1	0.6	0.4	0.6	0.2	1	0.6	0.4	1	1	0.6
52	HebbEffect	2	su	0.6	0.6	1	1	1	1	0.4	1	0.2	1	1	1	1	1	1	1
53	HebbEffect	1	su	0.6	1	0.6	1	1	1	1	1	1	1	1	1	1	1	1	1
54	HebbEffect	2	su	0.4	0.2	0.6	0.6	0.6	1	1	0.2	1	0.6	1	0.6	0	0.6	1	1
55	HebbEffect	1	su	0.4	0.2	0.2	0.6	0.2	0.6	0.2	0.2	0.6	0.4	0.6	0.6	0.2	0.4	0.2	0.6
56	HebbEffect	2	su	1	1	1	1	0.6	1	1	1	1	1	1	0.2	1	1	1	1
57	HebbEffect	1	su	0.6	0.4	1	0.4	1	0.4	0.4	0.4	0.6	0.4	0.6	0.4	0.2	0.2	0.4	0.2
